wl,charge,E_lower,log_gf,sun_ew,sco_ew,sun_A,sco_A
5661.348,0,4.2843,-1.756,23.0,24.4,7.419784762689362,7.479982271167046
5679.023,0,4.652,-0.75,59.6,61.7,7.470044717098587,7.525835508345704
5696.089,0,4.548,-1.72,13.7,14.5,7.3458780430246025,7.400521146102379
5701.544,0,2.559,-2.216,84.7,86.4,7.486189325824245,7.5433710968185625
5705.464,0,4.301,-1.355,38.1,39.7,7.407470707930097,7.464556965352173
5855.076,0,4.6075,-1.478,22.9,23.8,7.426231080183395,7.475023359489496
5905.672,0,4.652,-0.69,60.1,61.7,7.44869527418408,7.5015707186332135
5916.247,0,2.453,-2.936,55.5,55.4,7.480731443485331,7.526779622124679
5927.789,0,4.652,-1.04,43.6,46.0,7.464068495411956,7.524908402127698
5934.655,0,3.928,-1.07,77.9,79.1,7.477449871360161,7.5295989557000835
5956.694,0,0.8589,-4.605,52.8,52.3,7.485521819512099,7.5327057372242665
5987.065,0,4.795,-0.212,68.2,70.3,7.370058562586892,7.426184345851173
6003.012,0,3.881,-1.06,84.5,85.5,7.496044919370942,7.546938322821821
6005.541,0,2.588,-3.43,23.0,23.9,7.4290166644758715,7.488532439554312
6024.058,0,4.548,-0.02,111.2,114.0,7.460061700387471,7.516059693667035
6027.05,0,4.0758,-1.09,64.0,65.7,7.4382798576888876,7.493929919410835
6056.005,0,4.733,-0.45,72.3,74.2,7.462573041596809,7.5161061945185335
6065.482,0,2.6085,-1.53,117.3,118.8,7.459933834727687,7.515876833655263
6079.009,0,4.652,-1.1,46.5,47.5,7.521277977533984,7.567286208337204
6082.711,0,2.223,-3.573,34.0,35.3,7.456971550853332,7.518996906037883
6084.111000000001,1,3.1996,-3.79,20.9,22.6,7.4401121951794575,7.493763821819956
6093.644,0,4.607,-1.3,30.8,32.8,7.432870980748077,7.494910377266321
6096.665,0,3.9841,-1.81,37.6,39.3,7.475136792230725,7.533037226147807
6151.618000000001,0,2.1759,-3.299,49.9,51.2,7.462505518600058,7.520887145942404
6157.728,0,4.076,-1.22,62.7,64.7,7.471901834511403,7.5289665994631685
6165.360000000001,0,4.1426,-1.46,45.4,47.4,7.454081854424901,7.513246141326062
6173.335,0,2.223,-2.88,68.7,69.0,7.472720009808536,7.522849056078638
6187.990000000001,0,3.943,-1.67,47.6,49.4,7.485472581491478,7.5427317948976915
6200.313,0,2.6085,-2.437,73.6,74.6,7.483682833320284,7.537212909055454
6213.43,0,2.2227,-2.52,82.7,83.9,7.456898814258749,7.512168749957732
6219.281000000001,0,2.198,-2.433,90.3,91.2,7.468187673440628,7.521809727853587
6226.736000000001,0,3.883,-2.1,30.1,31.5,7.49232767881608,7.548964912543852
6240.646000000001,0,2.2227,-3.233,48.7,49.3,7.4416025586475,7.494058144180163
6247.557,1,3.8918,-2.3,52.9,54.6,7.441993457861693,7.4892294266780794
6252.555,0,2.404,-1.687,121.6,123.1,7.4630748149877615,7.519199523631531
6265.134,0,2.1759,-2.55,85.9,86.9,7.468052836663765,7.522181817604772
6270.225,0,2.858,-2.54,52.2,52.9,7.445929775378002,7.497390648609373
6271.279,0,3.332,-2.703,24.6,25.3,7.4499596919548186,7.501139116385941
6369.462,1,2.8912,-4.11,18.7,20.4,7.4066042816642845,7.464682318073416
6380.743000000001,0,4.186,-1.376,53.2,54.3,7.4995922538884585,7.549322516894047
6392.539,0,2.279,-4.03,16.7,17.3,7.498002933080241,7.556828929483746
6416.919,1,3.8918,-2.64,40.5,42.6,7.452871243414429,7.502959228379356
6430.846,0,2.1759,-2.006,114.0,113.4,7.457075432560624,7.505425707951536
6432.680000000001,1,2.8912,-3.57,42.4,43.9,7.45812620645923,7.504364008895785
6456.383,1,3.9036,-2.05,62.4,64.9,7.436440541601438,7.489335495584505
6498.939000000001,0,0.9581,-4.699,46.5,47.2,7.500032210328565,7.55759473551289
6593.871,0,2.4326,-2.422,86.3,86.6,7.491903618468568,7.541722819690771
6597.561,0,4.795,-0.98,44.7,46.2,7.501052825242826,7.5514111999847415
6625.022,0,1.011,-5.336,14.9,15.8,7.469441300504379,7.546506330195048
6677.987,0,2.692,-1.418,129.9,132.8,7.47697067533179,7.536821783949403
6703.567,0,2.7585,-3.023,37.6,38.3,7.4690528892307295,7.5206243414963305
6705.101999999999,0,4.607,-0.98,46.3,47.9,7.430118983132002,7.484111940486255
6710.319000000001,0,1.485,-4.88,15.7,15.7,7.505072926194313,7.553552632390988
6713.745,0,4.795,-1.4,21.2,22.3,7.442255028047503,7.49417208446044
6725.357,0,4.103,-2.19,18.6,19.2,7.48489163644934,7.531270273321527
6726.667000000001,0,4.607,-1.03,47.4,48.4,7.463162954710667,7.510894842755505
6733.151000000001,0,4.638,-1.47,27.0,28.7,7.491518146925496,7.549996876683818
6739.522,0,1.557,-4.79,12.4,13.2,7.386462723030769,7.4616341974172045
6750.152,0,2.4241,-2.621,75.3,75.3,7.480277478264499,7.528118859421525
6752.707000000001,0,4.638,-1.204,36.8,39.0,7.45799666672377,7.519031901101107
6793.259,0,4.076,-2.326,13.0,14.3,7.415195976053855,7.488382972388841
6806.845,0,2.727,-3.11,35.4,35.8,7.471598554686933,7.5198540154219975
6810.263,0,4.607,-0.986,50.6,53.1,7.469934194295676,7.5301469591914705
6837.006,0,4.593,-1.687,18.9,20.0,7.462095970222552,7.516778564995187
6839.83,0,2.559,-3.35,31.6,32.5,7.465813480926904,7.521734066326606
6843.656000000001,0,4.548,-0.86,63.3,64.1,7.491052826329605,7.537883276141557
6858.15,0,4.607,-0.93,52.4,53.6,7.459922598826152,7.509715973058099
